MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
952251178,10010173,3,2023-03-15 14:38:00,1,105,NULL
952251179,10010173,4,2023-03-15 14:35:00,2,93,NULL
952251180,10010173,3,2023-03-15 14:36:00,1,107,NULL
952261972,10010173,3,2023-03-15 14:40:00,1,137,NULL
952261973,10010173,4,2023-03-15 14:41:00,10,95,NULL
952264823,10010173,4,2023-03-15 14:44:00,6,90,NULL
952264827,10010173,4,2023-03-15 14:45:00,5,91,NULL
952264828,10010173,3,2023-03-15 14:44:00,1,91,NULL
952264830,10010173,4,2023-03-15 14:46:00,9,85,NULL
952264831,10010173,4,2023-03-15 14:47:00,5,95,NULL
952264832,10010173,5,2023-03-15 14:47:00,1,68,NULL
952264835,10010173,4,2023-03-15 14:49:00,1,95,NULL
952264837,10010173,4,2023-03-15 14:48:00,7,90,NULL
952264838,10010173,3,2023-03-15 14:48:00,1,89,NULL
952264839,10010173,5,2023-03-15 14:49:00,1,71,NULL
952264840,10010173,3,2023-03-15 14:49:00,1,127,NULL
952261976,10010173,6,2023-03-15 14:42:00,1,91,NULL
952261977,10010173,4,2023-03-15 14:43:00,1,95,NULL
952261969,10010173,4,2023-03-15 14:39:00,5,79,NULL
952261970,10010173,4,2023-03-15 14:40:00,5,106,NULL
952261979,10010173,3,2023-03-15 14:43:00,2,98,NULL
952261982,10010173,4,2023-03-15 14:42:00,3,91,NULL
952261985,10010173,5,2023-03-15 14:42:00,2,90,NULL
952288315,10010173,5,2023-03-15 14:53:00,1,88,NULL
952334677,10010173,5,2023-03-15 15:09:00,1,86,NULL
952334682,10010173,5,2023-03-15 15:11:00,1,79,NULL
952334683,10010173,4,2023-03-15 15:10:00,8,81,NULL
952288316,10010173,4,2023-03-15 14:56:00,5,86,NULL
952291972,10010173,4,2023-03-15 14:58:00,3,96,NULL
952291974,10010173,4,2023-03-15 14:59:00,2,94,NULL
952291975,10010173,4,2023-03-15 14:55:00,3,87,NULL
952292240,10010173,4,2023-03-15 14:57:00,7,83,NULL
952294581,10010173,4,2023-03-15 14:54:00,3,83,NULL
952294582,10010173,3,2023-03-15 14:54:00,1,96,NULL
952322760,10010173,5,2023-03-15 15:03:00,1,101,NULL
952322763,10010173,4,2023-03-15 15:03:00,6,91,NULL
952322767,10010173,4,2023-03-15 15:04:00,2,84,NULL
952277473,10010173,4,2023-03-15 14:50:00,7,88,NULL
952277476,10010173,4,2023-03-15 14:51:00,8,89,NULL
952322771,10010173,5,2023-03-15 15:06:00,1,82,NULL
952277478,10010173,4,2023-03-15 14:52:00,6,82,NULL
952277480,10010173,6,2023-03-15 14:52:00,1,86,NULL
952277481,10010173,4,2023-03-15 14:53:00,3,81,NULL
952322775,10010173,4,2023-03-15 15:06:00,1,98,NULL
952322779,10010173,4,2023-03-15 15:07:00,3,82,NULL
952322783,10010173,4,2023-03-15 15:05:00,3,87,NULL
952322785,10010173,4,2023-03-15 15:08:00,6,86,NULL
952334676,10010173,4,2023-03-15 15:09:00,10,95,NULL
952334685,10010173,4,2023-03-15 15:11:00,1,68,NULL
952334687,10010173,4,2023-03-15 15:12:00,4,83,NULL
952334689,10010173,4,2023-03-15 15:14:00,1,114,NULL
952334692,10010173,4,2023-03-15 15:13:00,3,88,NULL
952346322,10010173,6,2023-03-15 15:17:00,1,95,NULL
952346416,10010173,4,2023-03-15 15:15:00,2,82,NULL
952347914,10010173,4,2023-03-15 15:17:00,8,85,NULL
952350102,10010173,4,2023-03-15 15:18:00,5,92,NULL
952317989,10010173,4,2023-03-15 15:00:00,7,88,NULL
952317990,10010173,4,2023-03-15 15:01:00,2,88,NULL
952317991,10010173,4,2023-03-15 15:02:00,2,68,NULL
952350121,10010173,4,2023-03-15 15:16:00,9,88,NULL
952350654,10010173,4,2023-03-15 15:19:00,11,98,NULL
952350656,10010173,4,2023-03-15 15:20:00,4,98,NULL
952350657,10010173,5,2023-03-15 15:19:00,1,88,NULL
952350659,10010173,4,2023-03-15 15:21:00,3,79,NULL
952350660,10010173,4,2023-03-15 15:22:00,6,81,NULL
952350662,10010173,4,2023-03-15 15:23:00,1,77,NULL
952350664,10010173,3,2023-03-15 15:23:00,2,78,NULL
952360356,10010173,5,2023-03-15 15:25:00,1,49,NULL
952360357,10010173,4,2023-03-15 15:28:00,3,83,NULL
952363184,10010173,4,2023-03-15 15:31:00,8,88,NULL
952363185,10010173,3,2023-03-15 15:31:00,1,171,NULL
952363187,10010173,4,2023-03-15 15:33:00,3,88,NULL
952364323,10010173,4,2023-03-15 15:34:00,7,82,NULL
952365761,10010173,4,2023-03-15 15:29:00,5,83,NULL
952365763,10010173,4,2023-03-15 15:32:00,6,85,NULL
952367083,10010173,4,2023-03-15 15:30:00,7,94,NULL
952367115,10010173,5,2023-03-15 15:30:00,2,80,NULL
952360345,10010173,4,2023-03-15 15:24:00,6,98,NULL
952360347,10010173,3,2023-03-15 15:24:00,1,119,NULL
952360348,10010173,4,2023-03-15 15:25:00,10,85,NULL
952360350,10010173,4,2023-03-15 15:26:00,6,83,NULL
952360353,10010173,4,2023-03-15 15:27:00,7,81,NULL
952360354,10010173,5,2023-03-15 15:27:00,2,98,NULL
952379357,10010173,4,2023-03-15 15:42:00,9,93,NULL
952373891,10010173,5,2023-03-15 15:34:00,2,80,NULL
952373893,10010173,4,2023-03-15 15:35:00,4,93,NULL
952373895,10010173,4,2023-03-15 15:37:00,4,91,NULL
952373897,10010173,5,2023-03-15 15:36:00,1,75,NULL
952373898,10010173,4,2023-03-15 15:36:00,6,86,NULL
952373901,10010173,4,2023-03-15 15:38:00,2,108,NULL
