MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
892907803,10000028,6,2023-02-10 13:35:00,1,NULL,NULL
892911599,10000028,3,2023-02-10 13:40:00,4,NULL,NULL
892911600,10000028,4,2023-02-10 13:40:00,328,NULL,NULL
892911601,10000028,5,2023-02-10 13:40:00,24,NULL,NULL
892911602,10000028,6,2023-02-10 13:40:00,3,NULL,NULL
892916145,10000028,3,2023-02-10 13:45:00,0,NULL,NULL
892916146,10000028,4,2023-02-10 13:45:00,371,NULL,NULL
892916147,10000028,5,2023-02-10 13:45:00,16,NULL,NULL
892916148,10000028,6,2023-02-10 13:45:00,2,NULL,NULL
892927792,10000028,3,2023-02-10 13:50:00,3,NULL,NULL
892929569,10000028,4,2023-02-10 13:50:00,351,NULL,NULL
892929570,10000028,5,2023-02-10 13:50:00,24,NULL,NULL
892929571,10000028,6,2023-02-10 13:50:00,1,NULL,NULL
892958387,10000028,6,2023-02-10 13:55:00,0,NULL,NULL
892962349,10000028,3,2023-02-10 13:55:00,3,NULL,NULL
892962350,10000028,4,2023-02-10 13:55:00,338,NULL,NULL
892962351,10000028,5,2023-02-10 13:55:00,18,NULL,NULL
892967746,10000028,3,2023-02-10 14:00:00,1,NULL,NULL
892967747,10000028,4,2023-02-10 14:00:00,361,NULL,NULL
892967748,10000028,5,2023-02-10 14:00:00,23,NULL,NULL
892967749,10000028,6,2023-02-10 14:00:00,1,NULL,NULL
892972844,10000028,3,2023-02-10 14:05:00,7,NULL,NULL
892972845,10000028,5,2023-02-10 14:05:00,27,NULL,NULL
892974556,10000028,4,2023-02-10 14:05:00,348,NULL,NULL
892974727,10000028,6,2023-02-10 14:05:00,2,NULL,NULL
892979793,10000028,3,2023-02-10 14:10:00,1,NULL,NULL
892979794,10000028,4,2023-02-10 14:10:00,358,NULL,NULL
892979795,10000028,5,2023-02-10 14:10:00,22,NULL,NULL
892979796,10000028,6,2023-02-10 14:10:00,0,NULL,NULL
892984109,10000028,3,2023-02-10 14:15:00,4,NULL,NULL
892984110,10000028,4,2023-02-10 14:15:00,335,NULL,NULL
892984111,10000028,5,2023-02-10 14:15:00,26,NULL,NULL
892984112,10000028,6,2023-02-10 14:15:00,1,NULL,NULL
892988701,10000028,3,2023-02-10 14:20:00,6,NULL,NULL
892988702,10000028,4,2023-02-10 14:20:00,325,NULL,NULL
892988703,10000028,5,2023-02-10 14:20:00,22,NULL,NULL
892988704,10000028,6,2023-02-10 14:20:00,2,NULL,NULL
892992436,10000028,5,2023-02-10 14:25:00,26,NULL,NULL
892994591,10000028,4,2023-02-10 14:25:00,355,NULL,NULL
892994592,10000028,6,2023-02-10 14:25:00,3,NULL,NULL
892994911,10000028,3,2023-02-10 14:25:00,4,NULL,NULL
892998876,10000028,3,2023-02-10 14:30:00,9,NULL,NULL
892998877,10000028,4,2023-02-10 14:30:00,383,NULL,NULL
892998878,10000028,5,2023-02-10 14:30:00,21,NULL,NULL
892998879,10000028,6,2023-02-10 14:30:00,1,NULL,NULL
893002402,10000028,3,2023-02-10 14:35:00,8,NULL,NULL
893002403,10000028,4,2023-02-10 14:35:00,348,NULL,NULL
893002404,10000028,5,2023-02-10 14:35:00,24,NULL,NULL
893002405,10000028,6,2023-02-10 14:35:00,2,NULL,NULL
893007815,10000028,3,2023-02-10 14:40:00,3,NULL,NULL
893007816,10000028,4,2023-02-10 14:40:00,247,NULL,NULL
893007817,10000028,5,2023-02-10 14:40:00,23,NULL,NULL
893007818,10000028,6,2023-02-10 14:40:00,0,NULL,NULL
893013347,10000028,3,2023-02-10 14:45:00,1,NULL,NULL
893013348,10000028,4,2023-02-10 14:45:00,213,NULL,NULL
893013349,10000028,5,2023-02-10 14:45:00,12,NULL,NULL
893013350,10000028,6,2023-02-10 14:45:00,1,NULL,NULL
893018700,10000028,4,2023-02-10 14:50:00,197,NULL,NULL
893018701,10000028,6,2023-02-10 14:50:00,0,NULL,NULL
893023538,10000028,3,2023-02-10 14:50:00,1,NULL,NULL
893023539,10000028,5,2023-02-10 14:50:00,12,NULL,NULL
893029699,10000028,4,2023-02-10 14:55:00,193,NULL,NULL
893029700,10000028,6,2023-02-10 14:55:00,0,NULL,NULL
893032195,10000028,3,2023-02-10 14:55:00,0,NULL,NULL
893032196,10000028,5,2023-02-10 14:55:00,11,NULL,NULL
893038218,10000028,3,2023-02-10 15:00:00,0,NULL,NULL
893038219,10000028,4,2023-02-10 15:00:00,199,NULL,NULL
893038220,10000028,5,2023-02-10 15:00:00,8,NULL,NULL
893038221,10000028,6,2023-02-10 15:00:00,2,NULL,NULL
893043553,10000028,3,2023-02-10 15:05:00,4,NULL,NULL
893043554,10000028,4,2023-02-10 15:05:00,272,NULL,NULL
893043555,10000028,5,2023-02-10 15:05:00,18,NULL,NULL
893043556,10000028,6,2023-02-10 15:05:00,0,NULL,NULL
893048105,10000028,3,2023-02-10 15:10:00,0,NULL,NULL
893048106,10000028,4,2023-02-10 15:10:00,345,NULL,NULL
893048107,10000028,5,2023-02-10 15:10:00,24,NULL,NULL
893048108,10000028,6,2023-02-10 15:10:00,2,NULL,NULL
893052692,10000028,3,2023-02-10 15:15:00,0,NULL,NULL
893052693,10000028,4,2023-02-10 15:15:00,259,NULL,NULL
893052694,10000028,5,2023-02-10 15:15:00,29,NULL,NULL
893052695,10000028,6,2023-02-10 15:15:00,0,NULL,NULL
893058029,10000028,3,2023-02-10 15:20:00,1,NULL,NULL
893058030,10000028,4,2023-02-10 15:20:00,315,NULL,NULL
893058031,10000028,5,2023-02-10 15:20:00,23,NULL,NULL
893058032,10000028,6,2023-02-10 15:20:00,1,NULL,NULL
893062396,10000028,3,2023-02-10 15:25:00,4,NULL,NULL
893062397,10000028,4,2023-02-10 15:25:00,350,NULL,NULL
893062398,10000028,5,2023-02-10 15:25:00,24,NULL,NULL
893062399,10000028,6,2023-02-10 15:25:00,2,NULL,NULL
893067230,10000028,3,2023-02-10 15:30:00,0,NULL,NULL
893067231,10000028,4,2023-02-10 15:30:00,328,NULL,NULL
