MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego,OriginalTimestamp
943440920,10010173,6,2023-03-10 17:01:00,1,88,NULL,2023-03-10 17:01:00
943440916,10010173,4,2023-03-10 17:01:00,9,81,NULL,2023-03-10 17:01:00
943440932,10010173,4,2023-03-10 17:02:00,3,88,NULL,2023-03-10 17:02:00
943440927,10010173,3,2023-03-10 17:03:00,1,85,NULL,2023-03-10 17:03:00
943440926,10010173,4,2023-03-10 17:03:00,9,91,NULL,2023-03-10 17:03:00
943445657,10010173,4,2023-03-10 17:04:00,6,83,NULL,2023-03-10 17:04:00
943446621,10010173,4,2023-03-10 17:05:00,6,85,NULL,2023-03-10 17:05:00
943445748,10010173,5,2023-03-10 17:06:00,2,90,NULL,2023-03-10 17:06:00
943443737,10010173,4,2023-03-10 17:06:00,5,85,NULL,2023-03-10 17:06:00
943444696,10010173,4,2023-03-10 17:07:00,10,87,NULL,2023-03-10 17:07:00
943446710,10010173,4,2023-03-10 17:08:00,9,82,NULL,2023-03-10 17:08:00
943443740,10010173,4,2023-03-10 17:09:00,1,98,NULL,2023-03-10 17:09:00
943449682,10010173,4,2023-03-10 17:10:00,10,83,NULL,2023-03-10 17:10:00
943449684,10010173,4,2023-03-10 17:11:00,7,86,NULL,2023-03-10 17:11:00
943449687,10010173,4,2023-03-10 17:12:00,5,86,NULL,2023-03-10 17:12:00
943449688,10010173,4,2023-03-10 17:13:00,6,81,NULL,2023-03-10 17:13:00
943454618,10010173,4,2023-03-10 17:14:00,9,81,NULL,2023-03-10 17:14:00
943454634,10010173,5,2023-03-10 17:15:00,1,67,NULL,2023-03-10 17:15:00
943454620,10010173,4,2023-03-10 17:15:00,10,82,NULL,2023-03-10 17:15:00
943454622,10010173,4,2023-03-10 17:16:00,10,88,NULL,2023-03-10 17:16:00
943454626,10010173,3,2023-03-10 17:17:00,1,88,NULL,2023-03-10 17:17:00
943454625,10010173,4,2023-03-10 17:17:00,9,87,NULL,2023-03-10 17:17:00
943454635,10010173,5,2023-03-10 17:18:00,1,88,NULL,2023-03-10 17:18:00
943454628,10010173,4,2023-03-10 17:18:00,7,98,NULL,2023-03-10 17:18:00
943454631,10010173,5,2023-03-10 17:19:00,1,86,NULL,2023-03-10 17:19:00
943454632,10010173,4,2023-03-10 17:19:00,2,77,NULL,2023-03-10 17:19:00
943454633,10010173,3,2023-03-10 17:19:00,1,93,NULL,2023-03-10 17:19:00
943458380,10010173,5,2023-03-10 17:20:00,1,90,NULL,2023-03-10 17:20:00
943458379,10010173,4,2023-03-10 17:20:00,11,84,NULL,2023-03-10 17:20:00
943458381,10010173,4,2023-03-10 17:21:00,7,89,NULL,2023-03-10 17:21:00
943458384,10010173,4,2023-03-10 17:22:00,5,91,NULL,2023-03-10 17:22:00
943458390,10010173,5,2023-03-10 17:23:00,2,141,NULL,2023-03-10 17:23:00
943458387,10010173,4,2023-03-10 17:23:00,6,97,NULL,2023-03-10 17:23:00
943458388,10010173,4,2023-03-10 17:24:00,5,87,NULL,2023-03-10 17:24:00
943463125,10010173,4,2023-03-10 17:25:00,9,84,NULL,2023-03-10 17:25:00
943462013,10010173,3,2023-03-10 17:26:00,1,119,NULL,2023-03-10 17:26:00
943464021,10010173,4,2023-03-10 17:26:00,11,92,NULL,2023-03-10 17:26:00
943464022,10010173,5,2023-03-10 17:26:00,2,87,NULL,2023-03-10 17:26:00
943464826,10010173,4,2023-03-10 17:27:00,8,103,NULL,2023-03-10 17:27:00
943464828,10010173,3,2023-03-10 17:28:00,2,101,NULL,2023-03-10 17:28:00
943464827,10010173,4,2023-03-10 17:28:00,9,86,NULL,2023-03-10 17:28:00
943468079,10010173,4,2023-03-10 17:29:00,11,92,NULL,2023-03-10 17:29:00
943468081,10010173,4,2023-03-10 17:30:00,9,74,NULL,2023-03-10 17:30:00
943468083,10010173,4,2023-03-10 17:31:00,8,83,NULL,2023-03-10 17:31:00
943468086,10010173,4,2023-03-10 17:32:00,6,89,NULL,2023-03-10 17:32:00
943468088,10010173,4,2023-03-10 17:33:00,1,77,NULL,2023-03-10 17:33:00
943475847,10010173,4,2023-03-10 17:34:00,5,81,NULL,2023-03-10 17:34:00
943475848,10010173,4,2023-03-10 17:35:00,8,78,NULL,2023-03-10 17:35:00
943474880,10010173,3,2023-03-10 17:35:00,1,73,NULL,2023-03-10 17:35:00
943475047,10010173,4,2023-03-10 17:36:00,12,87,NULL,2023-03-10 17:36:00
943473550,10010173,4,2023-03-10 17:37:00,1,84,NULL,2023-03-10 17:37:00
943473552,10010173,4,2023-03-10 17:38:00,5,81,NULL,2023-03-10 17:38:00
943478038,10010173,4,2023-03-10 17:39:00,7,82,NULL,2023-03-10 17:39:00
943478041,10010173,4,2023-03-10 17:40:00,12,94,NULL,2023-03-10 17:40:00
943478043,10010173,4,2023-03-10 17:41:00,3,92,NULL,2023-03-10 17:41:00
943478046,10010173,4,2023-03-10 17:42:00,6,87,NULL,2023-03-10 17:42:00
943478044,10010173,6,2023-03-10 17:42:00,1,84,NULL,2023-03-10 17:42:00
943478050,10010173,4,2023-03-10 17:43:00,10,82,NULL,2023-03-10 17:43:00
943478048,10010173,6,2023-03-10 17:43:00,1,88,NULL,2023-03-10 17:43:00
943478047,10010173,3,2023-03-10 17:43:00,1,149,NULL,2023-03-10 17:43:00
943478053,10010173,4,2023-03-10 17:44:00,9,89,NULL,2023-03-10 17:44:00
943482694,10010173,4,2023-03-10 17:45:00,7,91,NULL,2023-03-10 17:45:00
943482703,10010173,5,2023-03-10 17:45:00,1,101,NULL,2023-03-10 17:45:00
943482697,10010173,4,2023-03-10 17:46:00,7,86,NULL,2023-03-10 17:46:00
943482699,10010173,4,2023-03-10 17:47:00,11,93,NULL,2023-03-10 17:47:00
943482702,10010173,4,2023-03-10 17:48:00,1,56,NULL,2023-03-10 17:48:00
943486929,10010173,3,2023-03-10 17:49:00,1,98,NULL,2023-03-10 17:49:00
943486927,10010173,4,2023-03-10 17:49:00,10,81,NULL,2023-03-10 17:49:00
943486943,10010173,6,2023-03-10 17:49:00,1,88,NULL,2023-03-10 17:49:00
943486932,10010173,3,2023-03-10 17:50:00,2,99,NULL,2023-03-10 17:50:00
943486931,10010173,4,2023-03-10 17:50:00,6,87,NULL,2023-03-10 17:50:00
943486933,10010173,4,2023-03-10 17:51:00,12,87,NULL,2023-03-10 17:51:00
943486945,10010173,5,2023-03-10 17:52:00,1,55,NULL,2023-03-10 17:52:00
943486937,10010173,4,2023-03-10 17:52:00,7,89,NULL,2023-03-10 17:52:00
943486942,10010173,3,2023-03-10 17:53:00,1,59,NULL,2023-03-10 17:53:00
943486941,10010173,5,2023-03-10 17:53:00,1,57,NULL,2023-03-10 17:53:00
943486940,10010173,4,2023-03-10 17:53:00,8,89,NULL,2023-03-10 17:53:00
943493626,10010173,4,2023-03-10 17:54:00,4,83,NULL,2023-03-10 17:54:00
943493219,10010173,3,2023-03-10 17:55:00,1,85,NULL,2023-03-10 17:55:00
943493218,10010173,4,2023-03-10 17:55:00,10,91,NULL,2023-03-10 17:55:00
943493220,10010173,4,2023-03-10 17:56:00,7,88,NULL,2023-03-10 17:56:00
943493221,10010173,4,2023-03-10 17:57:00,8,88,NULL,2023-03-10 17:57:00
943492167,10010173,4,2023-03-10 17:58:00,4,84,NULL,2023-03-10 17:58:00
943492168,10010173,4,2023-03-10 17:59:00,7,88,NULL,2023-03-10 17:59:00
943496615,10010173,4,2023-03-10 18:00:00,6,86,NULL,2023-03-10 18:00:00
943496626,10010173,3,2023-03-10 18:01:00,1,88,NULL,2023-03-10 18:01:00
943496617,10010173,4,2023-03-10 18:01:00,9,84,NULL,2023-03-10 18:01:00
943496627,10010173,3,2023-03-10 18:02:00,1,82,NULL,2023-03-10 18:02:00
943496621,10010173,5,2023-03-10 18:02:00,1,67,NULL,2023-03-10 18:02:00
943496619,10010173,4,2023-03-10 18:02:00,11,87,NULL,2023-03-10 18:02:00
943496623,10010173,4,2023-03-10 18:03:00,7,93,NULL,2023-03-10 18:03:00
943496624,10010173,4,2023-03-10 18:04:00,4,84,NULL,2023-03-10 18:04:00
943502159,10010173,4,2023-03-10 18:05:00,7,80,NULL,2023-03-10 18:05:00
943502167,10010173,5,2023-03-10 18:05:00,1,79,NULL,2023-03-10 18:05:00
943502162,10010173,3,2023-03-10 18:05:00,1,82,NULL,2023-03-10 18:05:00
943502164,10010173,4,2023-03-10 18:06:00,6,93,NULL,2023-03-10 18:06:00
943502165,10010173,3,2023-03-10 18:07:00,1,95,NULL,2023-03-10 18:07:00
943502166,10010173,4,2023-03-10 18:07:00,7,80,NULL,2023-03-10 18:07:00
943502172,10010173,4,2023-03-10 18:08:00,6,87,NULL,2023-03-10 18:08:00
943502171,10010173,4,2023-03-10 18:09:00,7,82,NULL,2023-03-10 18:09:00
943504880,10010173,3,2023-03-10 18:09:00,1,102,NULL,2023-03-10 18:09:00
943504892,10010173,4,2023-03-10 18:10:00,6,83,NULL,2023-03-10 18:10:00
943504884,10010173,6,2023-03-10 18:11:00,1,78,NULL,2023-03-10 18:11:00
943504883,10010173,4,2023-03-10 18:11:00,6,95,NULL,2023-03-10 18:11:00
943504886,10010173,4,2023-03-10 18:12:00,11,85,NULL,2023-03-10 18:12:00
943504888,10010173,6,2023-03-10 18:13:00,1,88,NULL,2023-03-10 18:13:00
943504887,10010173,4,2023-03-10 18:13:00,9,99,NULL,2023-03-10 18:13:00
943504891,10010173,4,2023-03-10 18:14:00,8,88,NULL,2023-03-10 18:14:00
943511125,10010173,4,2023-03-10 18:15:00,9,97,NULL,2023-03-10 18:15:00
943511127,10010173,4,2023-03-10 18:16:00,11,84,NULL,2023-03-10 18:16:00
943511130,10010173,4,2023-03-10 18:17:00,4,90,NULL,2023-03-10 18:17:00
943511133,10010173,5,2023-03-10 18:18:00,1,79,NULL,2023-03-10 18:18:00
943511131,10010173,4,2023-03-10 18:18:00,7,87,NULL,2023-03-10 18:18:00
943514610,10010173,4,2023-03-10 18:19:00,6,86,NULL,2023-03-10 18:19:00
943514612,10010173,4,2023-03-10 18:20:00,10,87,NULL,2023-03-10 18:20:00
943514614,10010173,3,2023-03-10 18:20:00,1,112,NULL,2023-03-10 18:20:00
943514616,10010173,4,2023-03-10 18:21:00,6,86,NULL,2023-03-10 18:21:00
943514622,10010173,5,2023-03-10 18:22:00,1,61,NULL,2023-03-10 18:22:00
943514617,10010173,4,2023-03-10 18:22:00,6,96,NULL,2023-03-10 18:22:00
943514619,10010173,4,2023-03-10 18:23:00,11,87,NULL,2023-03-10 18:23:00
943518829,10010173,4,2023-03-10 18:24:00,10,79,NULL,2023-03-10 18:24:00
943521776,10010173,4,2023-03-10 18:25:00,4,94,NULL,2023-03-10 18:25:00
943518830,10010173,4,2023-03-10 18:26:00,6,89,NULL,2023-03-10 18:26:00
943518831,10010173,4,2023-03-10 18:27:00,6,90,NULL,2023-03-10 18:27:00
943520893,10010173,4,2023-03-10 18:28:00,3,94,NULL,2023-03-10 18:28:00
943523992,10010173,4,2023-03-10 18:29:00,10,87,NULL,2023-03-10 18:29:00
943524012,10010173,4,2023-03-10 18:30:00,5,79,NULL,2023-03-10 18:30:00
943523998,10010173,4,2023-03-10 18:31:00,11,87,NULL,2023-03-10 18:31:00
943524002,10010173,5,2023-03-10 18:31:00,1,102,NULL,2023-03-10 18:31:00
943524006,10010173,5,2023-03-10 18:32:00,1,77,NULL,2023-03-10 18:32:00
943524008,10010173,4,2023-03-10 18:32:00,3,90,NULL,2023-03-10 18:32:00
943524010,10010173,4,2023-03-10 18:33:00,7,86,NULL,2023-03-10 18:33:00
943524014,10010173,5,2023-03-10 18:33:00,3,80,NULL,2023-03-10 18:33:00
943524016,10010173,4,2023-03-10 18:34:00,7,93,NULL,2023-03-10 18:34:00
943524018,10010173,3,2023-03-10 18:34:00,1,88,NULL,2023-03-10 18:34:00
943528610,10010173,5,2023-03-10 18:34:00,1,71,NULL,2023-03-10 18:34:00
943528612,10010173,4,2023-03-10 18:35:00,6,92,NULL,2023-03-10 18:35:00
943528614,10010173,4,2023-03-10 18:36:00,10,84,NULL,2023-03-10 18:36:00
943528617,10010173,4,2023-03-10 18:37:00,7,83,NULL,2023-03-10 18:37:00
943528619,10010173,4,2023-03-10 18:38:00,2,91,NULL,2023-03-10 18:38:00
943532788,10010173,4,2023-03-10 18:39:00,9,88,NULL,2023-03-10 18:39:00
943532789,10010173,4,2023-03-10 18:40:00,5,96,NULL,2023-03-10 18:40:00
943532792,10010173,3,2023-03-10 18:40:00,1,163,NULL,2023-03-10 18:40:00
943532793,10010173,6,2023-03-10 18:40:00,1,88,NULL,2023-03-10 18:40:00
943532801,10010173,4,2023-03-10 18:41:00,2,82,NULL,2023-03-10 18:41:00
943532803,10010173,6,2023-03-10 18:42:00,1,98,NULL,2023-03-10 18:42:00
943532802,10010173,5,2023-03-10 18:42:00,1,86,NULL,2023-03-10 18:42:00
943532795,10010173,4,2023-03-10 18:42:00,4,80,NULL,2023-03-10 18:42:00
943532799,10010173,3,2023-03-10 18:43:00,1,76,NULL,2023-03-10 18:43:00
943532798,10010173,4,2023-03-10 18:43:00,9,93,NULL,2023-03-10 18:43:00
943532800,10010173,4,2023-03-10 18:44:00,8,89,NULL,2023-03-10 18:44:00
943535813,10010173,4,2023-03-10 18:45:00,9,96,NULL,2023-03-10 18:45:00
