MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego,OriginalTimestamp
943390929,10010172,4,2023-03-10 16:19:00,2,98,NULL,2023-03-10 16:19:00
943396454,10010172,4,2023-03-10 16:20:00,5,87,NULL,2023-03-10 16:20:00
943396455,10010172,4,2023-03-10 16:21:00,10,90,NULL,2023-03-10 16:21:00
943396460,10010172,4,2023-03-10 16:22:00,1,98,NULL,2023-03-10 16:22:00
943396462,10010172,4,2023-03-10 16:23:00,4,95,NULL,2023-03-10 16:23:00
943400540,10010172,4,2023-03-10 16:24:00,3,95,NULL,2023-03-10 16:24:00
943399191,10010172,4,2023-03-10 16:25:00,4,90,NULL,2023-03-10 16:25:00
943402473,10010172,4,2023-03-10 16:26:00,3,90,NULL,2023-03-10 16:26:00
943399190,10010172,4,2023-03-10 16:27:00,4,89,NULL,2023-03-10 16:27:00
943400671,10010172,5,2023-03-10 16:27:00,1,82,NULL,2023-03-10 16:27:00
943402475,10010172,5,2023-03-10 16:28:00,1,93,NULL,2023-03-10 16:28:00
943402476,10010172,4,2023-03-10 16:28:00,5,91,NULL,2023-03-10 16:28:00
943404282,10010172,4,2023-03-10 16:29:00,7,86,NULL,2023-03-10 16:29:00
943404284,10010172,4,2023-03-10 16:30:00,7,90,NULL,2023-03-10 16:30:00
943404288,10010172,4,2023-03-10 16:31:00,5,88,NULL,2023-03-10 16:31:00
943404289,10010172,4,2023-03-10 16:32:00,6,95,NULL,2023-03-10 16:32:00
943404294,10010172,4,2023-03-10 16:33:00,2,88,NULL,2023-03-10 16:33:00
943411686,10010172,6,2023-03-10 16:34:00,1,91,NULL,2023-03-10 16:34:00
943404297,10010172,4,2023-03-10 16:34:00,10,86,NULL,2023-03-10 16:34:00
943408845,10010172,4,2023-03-10 16:35:00,4,90,NULL,2023-03-10 16:35:00
943408844,10010172,4,2023-03-10 16:36:00,12,87,NULL,2023-03-10 16:36:00
943409724,10010172,4,2023-03-10 16:37:00,4,91,NULL,2023-03-10 16:37:00
943409726,10010172,4,2023-03-10 16:38:00,3,98,NULL,2023-03-10 16:38:00
943414065,10010172,4,2023-03-10 16:39:00,1,101,NULL,2023-03-10 16:39:00
943414066,10010172,5,2023-03-10 16:40:00,1,44,NULL,2023-03-10 16:40:00
943414054,10010172,4,2023-03-10 16:40:00,15,50,NULL,2023-03-10 16:40:00
943414067,10010172,5,2023-03-10 16:41:00,1,75,NULL,2023-03-10 16:41:00
943414057,10010172,4,2023-03-10 16:41:00,11,82,NULL,2023-03-10 16:41:00
943414062,10010172,4,2023-03-10 16:42:00,7,90,NULL,2023-03-10 16:42:00
943414068,10010172,5,2023-03-10 16:42:00,1,82,NULL,2023-03-10 16:42:00
943414063,10010172,4,2023-03-10 16:43:00,7,97,NULL,2023-03-10 16:43:00
943414070,10010172,5,2023-03-10 16:44:00,1,86,NULL,2023-03-10 16:44:00
943414069,10010172,4,2023-03-10 16:44:00,2,78,NULL,2023-03-10 16:44:00
943419712,10010172,4,2023-03-10 16:45:00,7,85,NULL,2023-03-10 16:45:00
943418638,10010172,5,2023-03-10 16:45:00,1,95,NULL,2023-03-10 16:45:00
943420788,10010172,4,2023-03-10 16:46:00,4,97,NULL,2023-03-10 16:46:00
943418640,10010172,4,2023-03-10 16:47:00,7,92,NULL,2023-03-10 16:47:00
943421308,10010172,4,2023-03-10 16:48:00,6,93,NULL,2023-03-10 16:48:00
943419714,10010172,4,2023-03-10 16:49:00,3,98,NULL,2023-03-10 16:49:00
943419713,10010172,5,2023-03-10 16:49:00,1,84,NULL,2023-03-10 16:49:00
943423605,10010172,4,2023-03-10 16:50:00,1,110,NULL,2023-03-10 16:50:00
943423610,10010172,4,2023-03-10 16:51:00,3,94,NULL,2023-03-10 16:51:00
943423608,10010172,5,2023-03-10 16:51:00,1,114,NULL,2023-03-10 16:51:00
943423612,10010172,4,2023-03-10 16:52:00,5,99,NULL,2023-03-10 16:52:00
943423613,10010172,4,2023-03-10 16:53:00,3,92,NULL,2023-03-10 16:53:00
943434242,10010172,6,2023-03-10 16:54:00,1,98,NULL,2023-03-10 16:54:00
943431508,10010172,4,2023-03-10 16:54:00,8,90,NULL,2023-03-10 16:54:00
943434239,10010172,4,2023-03-10 16:55:00,7,90,NULL,2023-03-10 16:55:00
943431510,10010172,4,2023-03-10 16:56:00,1,95,NULL,2023-03-10 16:56:00
943431511,10010172,4,2023-03-10 16:57:00,4,94,NULL,2023-03-10 16:57:00
943436378,10010172,4,2023-03-10 16:58:00,11,83,NULL,2023-03-10 16:58:00
943429295,10010172,4,2023-03-10 16:59:00,8,78,NULL,2023-03-10 16:59:00
943431512,10010172,5,2023-03-10 16:59:00,2,80,NULL,2023-03-10 16:59:00
943440930,10010172,4,2023-03-10 17:00:00,6,88,NULL,2023-03-10 17:00:00
943440929,10010172,5,2023-03-10 17:00:00,1,84,NULL,2023-03-10 17:00:00
943440917,10010172,4,2023-03-10 17:01:00,2,85,NULL,2023-03-10 17:01:00
943440931,10010172,6,2023-03-10 17:02:00,1,75,NULL,2023-03-10 17:02:00
943440923,10010172,4,2023-03-10 17:02:00,8,90,NULL,2023-03-10 17:02:00
943440925,10010172,4,2023-03-10 17:03:00,1,86,NULL,2023-03-10 17:03:00
943446619,10010172,4,2023-03-10 17:04:00,5,84,NULL,2023-03-10 17:04:00
943446706,10010172,5,2023-03-10 17:05:00,1,86,NULL,2023-03-10 17:05:00
943446620,10010172,4,2023-03-10 17:05:00,1,97,NULL,2023-03-10 17:05:00
943446707,10010172,4,2023-03-10 17:06:00,7,87,NULL,2023-03-10 17:06:00
943444790,10010172,4,2023-03-10 17:07:00,5,87,NULL,2023-03-10 17:07:00
943446708,10010172,5,2023-03-10 17:08:00,1,93,NULL,2023-03-10 17:08:00
943445750,10010172,4,2023-03-10 17:08:00,11,92,NULL,2023-03-10 17:08:00
943443741,10010172,4,2023-03-10 17:09:00,3,85,NULL,2023-03-10 17:09:00
943449683,10010172,4,2023-03-10 17:10:00,8,98,NULL,2023-03-10 17:10:00
943449690,10010172,6,2023-03-10 17:10:00,1,101,NULL,2023-03-10 17:10:00
943449691,10010172,4,2023-03-10 17:11:00,3,89,NULL,2023-03-10 17:11:00
